Compound identifier,Trivial name,Final ABS IC50 (nM),Final iGc IC50 (nM),Final LGc IC50 (nM),Final mGc IC50 (nM),FC iGC-ABS,FC LGc-ABS,FC mGc-ABS,SMILE
TCMDC-135478,,197.00,,665.00,,,3.38,,CNCCNc1nccc(n1)N1CCc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2C1
TCMDC-124178,,197.33,,1086.67,,,5.51,,CN1c2ccc(cc2C(C)(C)C11Oc2c(C=C1)cc(Br)cc2N(=O)=O)N(=O)=O
PC20,,198.00,,1220.00,,,6.16,,CS(=O)c1ccc(cc1)c1cnc2ccc(nn12)c1cccc(c1)C(=O)NCCOC
DM46,,199.00,,,600.00,,,3.02,Fc1ccc(cc1)Cn1c2ccccc2nc1NC1CCN(CCc2ccc(cc2)C(=O)N2CCNCC2)CC1
TCMDC-137615,,199.54,,290.00,,,1.45,,CC(C)CCNC(=N)Nc1ccc(OCCCOc2ccc(NC(=N)NCCC(C)C)cc2)cc1
GNF-Pf-2304,,200.20,,,1250.00,,,6.24,CCN1C(SC2=CC=CC=C12)=CC=CC3=[N+](CC)C4=CC=CC=C4S3
GNF-Pf-4516,,200.70,,,574.77,,,2.86,CCOC(=O)C1CCN(CC1)C(=O)C2=C(C)OC3=C2C(=O)C4=CC=CC=C4C3=O
TCMDC-124917,,202.54,,1903.33,,,9.40,,CCc1nn2c(Nc3ccncc3)cc(C)nc2c1-c1ccccc1
TCMDC-125289,,202.71,,426.67,,,2.10,,COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c2cccs2)cc1OC
GNF-Pf-2514,,203.70,,,681.13,,,3.34,COC(=O)C1=CC=C(C=C1)C=NNC2=CC(C)=NC3=CC=C(OC)C=C23
TCMDC-137914,,204.43,,1110.00,,,5.43,,Cl.C(CNCc1cc2ccccc2c2ccccc12)CN1CCN(CCCNCc2cc3ccccc3c3ccccc23)CC1
GNF-Pf-1157,,208.10,,,958.33,,,4.61,NC12CC3CC(C1)CC(C3)(C2)SSC45CC6CC(CC(N)(C6)C4)C5
MMV689260,,210.00,,1000.00,,,4.76,,Fc1ccccc1CCC(=O)NC(C)CNC(=O)C(O)C(C)(C)CO
PP20,,213.00,,450.00,,,2.11,,FC(F)(F)c1cc(ccc1)N1C(=O)Nc2cnc3ccc(cc3c21)c1cnc(N)nc1
GNF-Pf-2288,,213.90,,,175.24,,,0.82,CC(=O)N(C1=CC=CC(Cl)=C1)C2=C(N3CCOCC3)C(=O)C4=CC=CC=C4C2=O
PP28,,214.00,,347.00,,,1.62,,FC(F)(F)c1cc(ccc1)N1C(=O)Nc2cnc3ccc(cc3c21)c1ccc2[NH]cnc2c1
GNF-Pf-4240,,214.00,,,954.85,,,4.46,OC(CN1C(=N)N(CC2=CC=CC=C2)C3=CC=CC=C13)C4=CC=C(Cl)C(Cl)=C4
MMV666600,,215.50,,5000.00,,,23.20,,CCOC(=O)c1c(C)n(c2ccc(Cl)cc2)c3ccc(OC(=O)C=Cc4ccccc4)cc13
MMV665924,,217.10,,5000.00,,,23.03,,COc1ccc(cc1)C(=O)C2CC2c3ccc(Cl)cc3
TCMDC-131819,,217.94,,300.00,,,1.38,,CCN(CC)C(NCCCCCCNC(=NC(=N)NCc1ccc(Cl)cc1Cl)N(CC)CC)=NC(=N)NCc1ccc(Cl)cc1Cl
MMV396678,,218.00,,5000.00,,,22.94,,c1(cc(c2ccccc2)n3)n3ccnc1SCC(=O)Nc(c(Cl)ccc4C(F)(F)F)c4
TCMDC-141583,,219.92,,3480.00,,,15.82,,OC(=O)C(F)(F)F.CCN(CC)CCCNc1ncc2c(nn(C)c2n1)-c1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)cc1
SJ000032719,,220.00,,1840.00,,,8.36,,CCCCOc1ccc(cc1)N(C(C)=O)C1=C(C(=O)c2ccccc2C1=O)N1CCOCC1
GNF-Pf-2978,,224.50,,,767.01,,,3.42,COC1=CC=CC=C1NC2=CC(=NS(=O)(=O)C3=CC=CC=C3)C4=CC=CC=C4C2=O
TCMDC-137802,,227.62,,280.00,,,1.23,,Br.C(CCOc1ccc(cc1)C1=NC2CCCCC2N1)CCOc1ccc(cc1)C1=NC2CCCCC2N1
MMV008212,,228.40,,5000.00,,,21.89,,COc1ccc2nc(C)cc(Nc3cccc(O)c3)c2c1
HL37,,229.00,,657.00,,,2.87,,FC(F)(F)c1cc(ccc1)N1C(=O)C=Cc2cnc3ccc(cc3c21)c1ccccc1
GNF-Pf-2545,,230.30,,,1162.16,,,5.05,CN(C)C1=C(N=C(O1)C2=CC=C(Cl)C=C2Cl)[P+](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5
TCMDC-131817,,230.65,,790.00,,,3.43,,CCN(CC)C(NCCCCCCNC(=NC(=N)NCc1ccc(Cl)cc1)N(CC)CC)=NC(=N)NCc1ccc(Cl)cc1
GNF-Pf-4118,,231.50,,,673.00,,,2.91,CCCCOC1=CC=C(C=C1)N(C(C)=O)C2=C(N3CCOCC3)C(=O)C4=CC=CC=C4C2=O
MMV008294,,232.00,,5000.00,,,21.55,,CCOC(=O)c1cnc2c(C)cc(C)cc2c1Nc3ccc(OC)c(OC)c3
TCMDC-132045,,232.09,,215.00,,,0.93,,Cl.CCc1c(CCNCCCCCCNCCc2ccc(Br)cc2)ccc(OC)c1OC
TCMDC-138493,,232.89,,220.00,,,0.94,,CN(C)CCNCc1cccc(c1)-c1ccc2c(Nc3ccc(Oc4ccccn4)cc3)ccnc2c1
TCMDC-132289,,234.49,,2690.00,,,11.47,,OC(=O)C(F)(F)F.Fc1ccc(CNCc2ccc(cc2)-c2cccc(c2)S(=O)(=O)NCCN2CCCC2)cc1
MMV884787,,235.00,,388.00,,,1.65,,Fc1ccccc1CCC(=O)NC(C)CNC(=O)C(O)C(C)(C)CO
BRD-K24711160-001-01-3,,236.21,,,1830.80,,,7.75,COc1ccc2c3c([C@H](CO)N(Cc4ccc5OCOc5c4)C[C@]33CN(C3)C(=O)c3ccc4OCOc4c3)n(C)c2c1
MMV000563,,238.30,,5000.00,,,20.98,,COc1ccc(cc1)C2Sc3ccccc3N=C4C2=C(O)c5ccccc45
GNF-Pf-3620,,238.70,,,1227.23,,,5.14,CC(=O)N(C1=CC=CC(Cl)=C1)C2=C(N3CCCCC3)C(=O)C4=CC=CC=C4C2=O
MMV674796,,239.00,,1574.00,,,6.59,,Nc1ncc(cc1c2ccc(cc2)C(F)(F)F)C(=O)NCc3ccccn3
MMV666102,,239.31,,5000.00,,,20.89,,CN(C)c1ccc(cc1)c2nc3cc(N)ccc3[nH]2
TCMDC-137457,,240.63,,280.00,,,1.16,,Cl.COc1cc(CCNC(=N)\C=C\c2ccc(Cl)cc2)ccc1Cl
GNF-Pf-5427,,241.50,,,807.84,,,3.35,OC1=CC=C(C=C1CN2CCCCCC2)C3=CC=CC=C3
MMV008416,,242.50,,5000.00,,,20.62,,CCCC1=C(CC)C(=N)c2ccccc2N1C
GNF-Pf-4694,,242.70,,,847.10,,,3.49,NC1=CC=C(C=C1)C2=NC3=CC(CC4=CC=C5NC(=NC5=C4)C6=CC=C(N)C=C6)=CC=C3N2
MMV020081,,244.52,,680.00,310.00,,2.78,1.27,COc1cccc(CC(=O)N2CCC(CC2)n3c(C)nc4ccc(F)cc34)c1
TCMDC-133435,,244.81,,5000.00,,,20.42,,OC(=O)C(F)(F)F.CN1CCN(CC1)c1nsc2ccc(cc12)-c1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)cc1
TCMDC-139750,,248.21,,620.00,,,2.50,,COc1ccc(CCNC(C)Cc2ccc(cc2)C(=O)Nc2ccc(CC(C)NCCc3cccc(Cl)c3)cc2)cc1
MMV075490,,249.52,,5000.00,,,20.04,,CCOc1ccc(cc1)C2N(C)c3ccccc3N2C
MMV006861,,251.00,,5000.00,,,19.92,,C1CN(CCO1)c2ccc(Nc3ccnc4cc5ccccc5cc34)cc2
TCMDC-134230,,251.19,,5000.00,,,19.90,,CN(C)S(=O)(=O)c1cc(cnc1N)-c1ccc2nccc(-c3cccc(c3)S(N)(=O)=O)c2c1
GNF-Pf-103,,253.70,,,1250.00,,,4.93,CN(C(C)=O)C1=C(N2CCOCC2)C(=O)C3=CC=CC=C3C1=O
TCMDC-131811,,256.00,,375.00,,,1.46,,Clc1ccc(NC(=N)N=C(NCCCCCCNC(=NC(=N)Nc2ccc(Cl)cc2)N2CCCCC2)N2CCCCC2)cc1
TCMDC-138676,,259.43,,400.00,,,1.54,,COc1cc2C(=O)OC(C(C)C=C)c2c(OC)c1
FH1r,,260.00,,5000.00,,,19.23,,ONC(=O)CCCCCONC(=O)c1ccc(CCCC)cc1
AV12,,260.00,,5000.00,,,19.23,,OC1=CC=CC=C1C2=CC=C(CNCC3CCNCC3)O2
TCMDC-132811,,260.93,,855.00,,,3.28,,OC(=O)C(F)(F)F.NCc1ccc(CNCc2cccc(c2)-c2ccc(cc2)-c2nc3cc(ccc3[nH]2)C(F)(F)F)cc1
DC9,,261.00,,4231.00,,,16.21,,CS(=O)c1ccc(cc1)c1cnc2ccc(nn12)c1ccc(cc1)S(C)=O
MMV666688,,263.00,,5000.00,,,19.01,,Cc1cc(C=C2SC(=Nc3ccccc3)N(C4CCCC4)C2=O)c(C)n1c5ccc(Cl)cc5
GNF-Pf-4683,,265.30,,,1250.00,,,4.71,COC1=CC=CC=C1N2CCN(CC2)C(=O)CCCCSC3=NN=C4C(=N3)N(CC5=CC=C(F)C=C5)C6=CC=C(F)C=C46
TCMDC-123680,,266.88,,140.00,,,0.52,,CCN(CC)CCCn1c(N)c(-c2nc3ccccc3[nH]2)c2nc(C#N)c(nc12)C#N
BRD-K77264696-001-01-2,,268.88,,,3929.14,,,14.61,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)C2CCCCC2)Oc2ncc(cc2C1=O)C#Cc1cccc(F)c1
GNF-Pf-4512,,270.10,,,285.14,,,1.06,CC(C)CCNCC(O)CN1C2=CC=C(Br)C=C2C3=CC(Br)=CC=C13
GP33,,270.26,,,173.60,,,0.64,CN1CCN(CC1)c1cc2[NH]c(nc2cc1)c1ccc2nc([NH]c2c1)c1ccc(OCC)cc1
TCMDC-123475,,271.95,,1170.00,,,4.30,,CNC(=S)NN=C(C)c1ccccn1
PP36,,275.00,,637.00,,,2.32,,FC(F)(F)c1cc(ccc1)N1C(=O)Nc2cnc3ccc(cc3c21)c1cccc(N)c1
TCMDC-138399,,279.77,,325.00,,,1.16,,CN(C)CCNCc1ccc(o1)-c1ccc2c(Nc3ccc(Oc4ccccc4)cc3)ccnc2c1
AV29,,280.00,,850.00,,,3.04,,BrC1=CC=C(C2=CC=C(CNCC3CCNCC3)S2)C(Cl)=C1
DDD01058697,,281.00,,,2775.82,,,9.88,CN1C=C(C(C)=N1)C1=NS(=O)(=O)N(C)C(=C1)C(=O)NC1=CC=C(Br)C=C1
MMV665879,,281.74,,5000.00,,,17.75,,CC(C)(C)C(=O)Nc1ccc(cc1)C(=O)Nc2cccc(c2)c3nc4ccccc4[nH]3
MMV666062,,282.00,,5000.00,,,17.73,,Cc1ccc(cc1)N2C(=O)C3C(C2=O)C4(C(=O)C3(C(=C4c5ccccc5)c6ccccc6)c7ccccc7)c8ccccc8
MMV026356,,282.58,,740.00,240.00,,2.62,0.85,CCn1ncc2c(NC3CCOCC3)c(CNC(=O)c4ccnn4C)c(C)nc12
MMV007839,,283.00,,5000.00,,,17.67,,C1(O)(CC(=O)c(ccc(OC)c2)c2O1)C(F)(F)C(F)(F)F
PP34,,283.00,,3270.00,,,11.55,,FC(F)(F)c1cc(ccc1)N1C(=O)Nc2cnc3ccc(cc3c21)c1ccc(N)cc1
MMV007363,,283.30,,5000.00,,,17.65,,Clc1ccc2c(ccnc2c1)N3CCCC3
PC24,,284.00,,1000.00,,,3.52,,CS(=O)c1ccc(cc1)c1cnc2ccc(nn12)c1cccc(c1)C(=O)NC1CC1
TCMDC-137939,,284.00,,745.00,,,2.62,,CS(O)(=O)=O.CCOc1cc(CNCCCCCCNCc2cc(OCC)c(OCC)c3ccccc23)c2ccccc2c1OCC
HL31,,286.00,,765.00,,,2.67,,FC(F)(F)c1cc(ccc1)N1c2c3cc(ccc3ncc2C=CC1=O)c1ccsc1
TCMDC-138172,,286.53,,400.00,,,1.40,,CC(=O)c1ccc2nc[nH]c(=O)c2c1
HL39,,292.00,,392.00,,,1.34,,CS(=O)(=O)c1ccc(cc1)c1cc2c(cc1)ncc1C=CC(=O)N(c3cc(ccc3)C(F)(F)F)c12
MMV006764,,292.50,,5000.00,,,17.09,,CCOc1c(Br)cc(cc1OC)C2C(=CN(C)C=C2C(=O)OC)C(=O)OC
BRD-K10380905-001-01-3,,292.59,,,4512.83,,,15.42,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(cc2)C(F)(F)F)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21
MMV396693,,296.00,,2957.00,,,9.99,,[n+]1(C)c2c(cccc2)nc(ccc(NCCO)c3)c13
TCMDC-137907,,296.31,,160.00,,,0.54,,COCCCNC(=S)NN=C(C)c1ccccn1
GNF-Pf-771,,297.10,,,586.60,,,1.97,CN1C(=O)C(Cl)=C2C3=CC=CC=C3C(=O)C4=C(Cl)C=CC1=C24
TCMDC-124286,,298.00,,1495.00,,,5.02,,Cl.C(CCCCNc1c2ccccc2nc2ccccc12)CCCCNc1c2ccccc2nc2ccccc12
MMV884789,,299.00,,1000.00,,,3.34,,CC(C)(CO)C(O)C(=O)NCC(C)c1nnc(CCc2ccccc2F)[NH]1
TCMDC-123927,,299.00,,646.67,,,2.16,,Cl.COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O)n2cnc3c(ncnc23)N(C)C)cc1
DDD01243664,,299.00,,,732.16,,,2.45,CN(CC1=CSC=C1)C1=NC(=NC2=C1CCNCC2)C1=CC=CC=N1
MMV008138,,300.00,,5000.00,5000.00,,16.67,16.67,c12c(CC(C(O)=O)NC1c3ccc(Cl)cc3Cl)c4c(cccc4)[nH]2
BRD-K75018854-001-01-2,,303.63,,,5000.00,,,16.47,COc1ccc(NC(=O)N(C)C[C@H]2Oc3c(NC(=O)CCCCCC(=O)Nc4ccccc4N)cccc3C(=O)N(C[C@H]2C)[C@H](C)CO)cc1
MMV007228,,304.50,,5000.00,,,16.42,,Cc1cccc(c1)N2C(=O)C3C(C2=O)C4(C(=O)C3(C(=C4c5ccc6OCOc6c5)c7ccc8OCOc8c7)c9ccccc9)c%10ccccc%10
TCMDC-137619,,308.69,,309.33,,,1.00,,Cl.CCCCCCNC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)NCCCCCC)cc1
GNF-Pf-2018,,309.50,,,1183.67,,,3.82,C=CCSC1=C(N=C(O1)C2=CC=CO2)[P+](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5
GM48,,310.00,,1670.00,,,5.39,,ClC1=C(Cl)C=C(N=C2N3C(NCC4=CC=CS4)=CC(C(F)(F)F)=C2C#N)C3=C1
MMV007764,,311.30,,5000.00,,,16.06,,CCCCC1=C(CCC)C(=N)c2ccccc2N1C
PP16,,313.00,,1140.00,,,3.64,,FC(F)(F)c1cc(ccc1)N1C(=O)Nc2cnc3ccc(cc3c21)c1ccncc1
TCMDC-131456,,313.51,,1400.00,,,4.47,,Cl.CCC(CSC1CCCCC1)N(C)CCN(C)C(CC)CSC1CCCCC1
BRD-K19633528-001-01-3,,316.23,,,5000.00,,,15.81,C\C=C\c1ccc(cc1)[C@H]1[C@@H](CO)N(CC2CCCCC2)[C@@H]1CNC(C)C
MMV688279,,319.00,,2350.00,,,7.37,,CC1=Nc2ccc(Cl)cc2C(O)(N1CCN3CCCCC3)c4ccc(C)cc4
GNF-Pf-4507,,319.00,,,1250.00,,,3.92,ClC1=CC=C(NC2=C(N3CCCCC3)C(=O)C4=CC=CC=C4C2=O)C=C1
TCMDC-134690,,319.00,,255.00,,,0.80,,COc1cccc(OC)c1CN1CCC(CC1)N(C)CCCCCCCCCN1CCC(CC1)OC(=O)Nc1ccccc1-c1ccccc1
TCMDC-137895,,319.45,,1495.00,,,4.68,,CC(=NNC(=S)NCCc1ccccn1)c1ccccn1
TCMDC-124064,,319.85,,3273.33,,,10.23,,Cl.OC(Cn1c2ccccc2n(CCN2CCCCC2)c1=N)c1ccc(Cl)c(Cl)c1
TCMDC-138334,,322.01,,300.00,,,0.93,,Cl.Cc1nc(no1)-c1cccc(Nc2ccnc3cc(ccc23)-c2nccs2)c1
GP78,,322.81,,,123.66,,,0.38,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc54)cc3)cc2)nc(N)n1
HL32,,326.00,,1037.00,,,3.18,,FC(F)(F)c1cc(ccc1)N1c2c3cc(ccc3ncc2C=CC1=O)c1ccoc1
TCMDC-132017,,326.01,,5000.00,,,15.34,,COc1ccc(CCNc2nc(NCc3ccccc3)c3cc(OC)c(OC)cc3n2)cc1OC
DDD01063654,,326.75,,5000.00,5000.00,,15.30,15.30,CC1=CC=C(CN(C2CC2)C2=CC(C)=NC3=NC(=NN23)C(F)(F)F)C=C1
MMV665881,,330.44,,5000.00,,,15.13,,COc1ccc(CNC(=O)C2=CC3=C(N=C4C=CC=CN4C3=O)N(CCc5ccccc5)C2=N)cc1
GNF-Pf-4079,,338.00,,,687.05,,,2.03,COC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(NC3=CC=CC=C3OC)C(=O)C4=CC=CC=C24
NCGC00100599,,340.00,,4340.00,,,12.76,,CC(C)c1ccccc1OC=1C(=O)c2ccc(O)c(CN3CCN(CC)CC3)c2OC=1C(F)(F)F
TCMDC-138771,,340.48,,630.00,,,1.85,,Cl.OCCOc1c(ccc2CCCCc12)C1CCN(CCCCNC(=O)c2ccc3oc(cc3c2)-c2ccc(cc2)C(F)(F)F)CC1
TCMDC-138677,,342.55,,600.00,,,1.75,,COc1cc2C(=O)OC(CC=C)c2c(OC)c1
MMV007020,,344.00,,5000.00,,,14.53,,CCOc1ccc2nc(C)cc(Nc3ccc(cc3)N(C)C)c2c1
MMV019871,,345.00,,5000.00,,,14.49,,Fc1ccc2[nH]c3c(NCCCN4CCOCC4)ncnc3c2c1
TCMDC-137169,,348.44,,100.00,,,0.29,,CS(O)(=O)=O.FC(F)(F)COc1c(CCNCCCCNCCc2ccc3ccccc3c2OCC(F)(F)F)ccc2ccccc12
GNF-Pf-2863,,350.00,,,1204.17,,,3.44,ClC1=CC=CC=C1C2=NC(=C(O2)N3CCOCC3)[P+](C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6
TCMDC-137816,,352.00,,370.00,,,1.05,,CS(O)(=O)=O.FC(F)(F)COc1ccc2ccccc2c1CNCCCCCCNCc1c(OCC(F)(F)F)ccc2ccccc12
BRD-K27191881-001-01-3,,353.84,,,5000.00,,,14.13,OC[C@@H]1[C@@H]([C@H]2CN(CC(=O)N12)C(=O)Cc1ccccc1)c1ccc(cc1)C#CCc1ccccc1
MMV009085,,354.00,,5000.00,,,14.12,,OCCCCN1C(=O)c2ccc3C(=O)N(CCCCO)C(=O)c4ccc(C1=O)c2c34
HL29,,359.00,,452.00,,,1.26,,FC(F)(F)c1cc(ccc1)N1C(=O)C=Cc2cnc3ccc(cc3c21)c1cncnc1
MMV665883,,360.21,,5000.00,,,13.88,,O=C(Nc1cccc(c1)C(=O)Nc2cccc(c2)c3nc4ccccc4[nH]3)c5occc5
TCMDC-124807,,360.71,,1525.00,,,4.23,,Fc1ccc(cc1)-c1cccc(n1)-c1cccc(NC(=O)c2ccc(o2)N(=O)=O)c1
TCMDC-132056,,360.82,,550.00,,,1.52,,Cl.CCc1c(CCNCCc2cccc(CCNCCc3ccc(OC)c(OC)c3CC)c2)ccc(OC)c1OC
MMV020548,,361.00,,5000.00,,,13.85,,CCN1CCN(Cc2ccc(NC(=O)c3cc4ccc5cccnc5c4[nH]3)cc2)CC1
MMV011903,,361.10,,,5000.00,,,13.85,Cc1ccc(NC(=O)c2nc[nH]c2C(=O)Nc3nc4ccccc4[nH]3)c(C)c1
MMV007430,,362.00,,5000.00,,,13.81,,Brc1ccc(cc1)S(=O)(=O)N2CCC(CC2)C(=O)NCc3occc3
MMV019241,,362.65,,5000.00,,,13.79,,Brc1cccc(c1)C(=O)Nc2ccc(cc2)c3nc4cc5ccccc5cc4[nH]3
TCMDC-142295,,366.85,,200.00,,,0.55,,Nc1cc(C=Cc2ccc(o2)N(=O)=O)nc2ccccc12
TCMDC-124799,,371.00,,780.00,,,2.10,,COc1ccc(OC)c(c1)-c1cccc(n1)-c1cccc(NC(=O)c2ccc(o2)N(=O)=O)c1
MMV667488,,373.00,,2635.00,,,7.06,,C12=C(C=C(C(=O)NCc(cccn3)c3)C(=N)N1CCc(cc4)ccc4OC)C(=O)N(C=CC=C5C)C5=N2
TCMDC-136467,,373.33,,900.00,,,2.41,,CN(C)Cc1ccc(cc1)-c1cccc(Nc2nccc(NCC(O)c3ccccc3)n2)c1
GNF-Pf-2993,,375.00,,,1101.64,,,2.94,COC1=CC=CC=C1NC2=CC(=NS(=O)(=O)C3=CC=C(F)C=C3)C4=CC=CC=C4C2=O
TCMDC-137324,,375.70,,150.00,,,0.40,,CS(O)(=O)=O.COc1ccc2CCCCc2c1CCNCCCCNCCc1c2CCCCc2ccc1OC
MMV006278,,378.00,,5000.00,,,13.23,,CCC1=C(C)C(=N)c2ccccc2N1C
GNF-Pf-4736,,378.00,,,1084.21,,,2.87,COC1=CC=C(C=C1)C2C(C(=O)NC3=CC(Cl)=C(OC)C=C3OC)C4=CC=CC=C4C(=O)N2C
BRD-K92545585-001-01-9,,378.22,,,5000.00,,,13.22,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)-c2ccccc2)Oc2c(NC(=O)c3cnccn3)cccc2C1=O
TCMDC-135397,,380.42,,613.33,,,1.61,,COc1cc(NC(=O)c2sc(cc2NC(=O)c2cccnc2)-c2ccc(Cl)cc2)ccc1OCCN1CCCC1
GNF-Pf-2145,,381.00,,,48.86,,,0.13,[O-][N+](=O)C1=CC=C(O1)C=CC=C(C#N)C2=NC3=CC=CC=C3N2
TCMDC-131806,,381.03,,840.00,,,2.20,,CCN(CC)C(NC(=N)c1ccc(Cl)cc1)=NCCCCCCN=C(NC(=N)c1ccc(Cl)cc1)N(CC)CC
MMV638723,,385.00,,5000.00,,,12.99,,N1(C=CC(N)=NC1=O)C2O[C@@H]([C@@H](O)[C@H]2O)CO
PP59,,386.00,,482.00,,,1.25,,Nc1ccc(cn1)c1ccc2ncc3NC(=O)N(c4ccc(C#N)cc4)c3c2c1
GP83,,389.30,,,17.36,,,0.04,Nc1ncc(cc1c1cnc(cc1)C(F)(F)F)c1ccc(cc1)S(C)(=O)=O
BRD-K30240821-001-02-4,,389.54,,,5000.00,,,12.84,COc1ccc(cc1)S(=O)(=O)N(C)C[C@H]1Oc2ccc(NC(=O)Cc3cn(C)c4ccccc34)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO
TCMDC-137908,,391.00,,50.00,,,0.13,,Cl.CN(CCCNCc1ccc2ccccc2c1)CCCNCc1ccc2ccccc2c1
HL40,,392.00,,547.00,,,1.40,,CC(=O)c1cccc(c1)c1cc2c(cc1)ncc1C=CC(=O)N(c3cc(ccc3)C(F)(F)F)c12
TCMDC-137452,,394.56,,220.00,,,0.56,,Cl.N=C(NCCCCC1CCCCC1)c1cccc(n1)C(=N)NCCCCC1CCCCC1
MMV006937,,396.00,,5000.00,,,12.63,,Cc1ccc(cc1)c2cc3nc4CCCCc4c(O)n3n2
MMV666103,,396.64,,5000.00,,,12.61,,CCN1C(=Nc2ccccc2C1=O)SCC(=O)Nc3cc(ccc3Cl)C(F)(F)F
TCMDC-124436,,397.57,,105.33,,,0.26,,Clc1ccc(cc1N(=O)=O)C(=O)N(CC=C)c1nc(cs1)-c1ccccc1
TCMDC-124542,,399.00,,300.00,,,0.75,,Cc1sc2ncnc(Sc3nnc(N)s3)c2c1C
TCMDC-131821,,399.00,,615.00,,,1.54,,CCCCN(CCCC)C(NCCCCCCNC(=NC(=N)NCc1ccc(Cl)c(Cl)c1)N(CCCC)CCCC)=NC(=N)NCc1ccc(Cl)c(Cl)c1
BRD-K52609475-001-01-4,,399.30,,,2994.14,,,7.50,COc1ccc(cc1)C#Cc1ccc2c(O[C@@H](CN(C)C(=O)Nc3cccc(OC)c3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1
TCMDC-137853,,399.61,,55.00,,,0.14,,CS(O)(=O)=O.FC(F)(F)COc1ccc(CNCCCCCCNCc2ccc(OCC(F)(F)F)c3ccccc23)c2ccccc12
MMV019110,,400.00,,5000.00,,,12.50,,Cc1cccc(Nc2nc(N)c3ccccc3n2)c1
MMV020439,,402.35,,5000.00,,,12.43,,CCn1c(CN2CCN(Cc3ccccc3)CC2)nc4cc(NC(=O)c5cccs5)ccc14
TCMDC-137944,,403.00,,105.00,,,0.26,,CS(O)(=O)=O.COc1cc2ccccc2cc1CCNCCCCNCCc1cc2ccccc2cc1OC
TCMDC-131812,,403.02,,1030.00,,,2.56,,CCN(CC)C(NCCCCCCCCNC(=NC(=N)Nc1ccc(Cl)cc1)N(CC)CC)=NC(=N)Nc1ccc(Cl)cc1
TCMDC-140618,,404.17,,1310.00,,,3.24,,OC(=O)C(F)(F)F.O=C(NCCc1ccccc1)N(Cc1cccc(c1)-c1ccc(CNC2CCCC2)cc1)C1CCN(Cc2ccccc2)CC1
TCMDC-125702,,405.54,,3315.00,,,8.17,,Cl.Cc1cc(NCCCCCCNc2cc(C)nc3c(C)cccc23)c2cccc(C)c2n1
TCMDC-137763,,408.00,,230.00,,,0.56,,CS(O)(=O)=O.CSc1ccc2ccccc2c1CCNCCCCNCCc1c(SC)ccc2ccccc12
DDD01064155,,408.00,,,2058.46,,,5.05,ClC1=CC=CC(=C1)C(NCC1=NC=CN1)C1=CC=CC=N1
GNF-Pf-4046,,408.00,,,320.03,,,0.78,CC1=CC=C(NC(=O)ON=C2CCCC2)C=C1
AV23,,410.00,,1900.00,,,4.63,,FC(F)(F)C1=CC=C(C2=CC=C(CNCC3CCNCC3)O2)C=C1
GNF-Pf-2996,,411.00,,,864.51,,,2.10,CC(CCC=C(C)CCC=C(C)C)NCCN1CCNCC1
PP24,,412.00,,4630.00,,,11.24,,FC(F)(F)c1cc(ccc1)N1C(=O)Nc2cnc3ccc(cc3c21)c1ccc(O)nc1
MMV009060,,414.00,,5000.00,,,12.08,,CCN(CC)c1ccc(NC(=O)c2cccs2)cc1
MMV670815,,417.40,,654.75,,,1.57,,CS(=O)(=O)c1ccc(cc1)c2cnc3ccc(nn23)c4cccc(c4)c5nnn[nH]5
MMV007571,,418.00,,5000.00,,,11.96,,Cc1ccc(CSCc2oc(cc2)C(=O)NC3CC3)cc1
MMV665810,,419.33,,5000.00,,,11.92,,O=C(Nc1cccc(c1)C2=NCCN2)Nc3cccc(c3)C4=NCCN4
AV30,,420.00,,830.00,,,1.98,,ClC1=CC=C(C2=CC=C(CNCC3CCNCC3)S2)C(Br)=C1
MMV007199,,422.00,,5000.00,,,11.85,,COc1ccccc1N2C(=N)SC(=Cc3ccc(OCc4ccccc4F)cc3)C2=O
TCMDC-137317,,426.00,,1370.00,,,3.22,,CS(O)(=O)=O.FC(F)(F)COc1ccc2ccccc2c1CCNCCCCNCCc1c(OCC(F)(F)F)ccc2ccccc12
